name	x	y	z
cepPiva	0.0083	0.0082	0.0232
cepPiva	0.0075	0.0074	0.0211
cepPiva	0.0067	0.0067	0.0193
cepPiva	0.0061	0.0061	0.0176
cepPiva	0.0055	0.0055	0.0161
cepPiva	0.005	0.005	0.0147
cepPiva	0.0045	0.0046	0.0134
cepPiva	0.0041	0.0042	0.0123
cepPiva	0.0037	0.0038	0.0112
cepPiva	0.0034	0.0035	0.0102
cepPiva	0.0031	0.0032	0.0093
cepPiva	0.0028	0.003	0.0085
cepPiva	0.0026	0.0028	0.0078
cepPiva	0.0023	0.0026	0.0071
cepPiva	0.0021	0.0023	0.0065
cepPiva	0.002	0.0022	0.0059
cepPiva	0.0018	0.002	0.0054
cepPiva	0.0016	0.0019	0.0049
cepPiva	0.0015	0.0018	0.0045
cepPiva	0.0014	0.0016	0.0041
cepPiva	0.0013	0.0015	0.0038
cepPiva	0.0012	0.0014	0.0034
cepPiva	0.0011	0.0013	0.0032
cepPiva	0.0011	0.0013	0.0028
cepPiva	0.001	0.0012	0.0026
cepPiva	0.0009	0.0012	0.0024
cepPiva	0.0009	0.0011	0.0022
cepPiva	0.0008	0.001	0.002
cepPiva	0.0008	0.001	0.0018
cepPiva	0.0007	0.0009	0.0017
cepPiva	0.0007	0.0009	0.0015
cepPiva	0.0006	0.0009	0.0014
cepPiva	0.0006	0.0009	0.0013
cepPiva	0.0006	0.0008	0.0011
cepPiva	0.0006	0.0008	0.0011
cepPiva	0.0005	0.0008	0.0009
cepPiva	0.0005	0.0007	0.0009
cepPiva	0.0005	0.0007	0.0008
cepPiva	0.0005	0.0007	0.0007
cepPiva	0.0005	0.0007	0.0006
cepPiva	0.0004	0.0007	0.0006
cepPiva	0.0004	0.0007	0.0006
cepPiva	0.0004	0.0006	0.0005
cepPiva	0.0004	0.0006	0.0005
cepPiva	0.0003	0.0006	0.0004
cepPiva	0.0003	0.0006	0.0004
cepPiva	0.0004	0.0005	0.0004
cepPiva	0.0003	0.0005	0.0003
cepPiva	0.0003	0.0005	0.0003
cepPiva	0.0003	0.0005	0.0003
cepPiva	0.0003	0.0005	0.0003
cepPiva	0.0003	0.0005	0.0002
cepPiva	0.0003	0.0005	0.0002
cepPiva	0.0003	0.0004	0.0002
cepPiva	1.9897	2.2352	1.3417
cepPiva	1.752	1.9792	1.2148
cepPiva	1.5496	1.7609	1.109
cepPiva	1.3749	1.5724	1.0204
cepPiva	1.2243	1.4088	0.9447
cepPiva	1.0927	1.2659	0.879
cepPiva	0.978	1.1406	0.8207
cepPiva	0.876	1.0297	0.7721
cepPiva	0.7816	0.9249	0.7173
cepPiva	0.7022	0.8393	0.6802
cepPiva	0.6327	0.7623	0.6407
cepPiva	0.5697	0.6917	0.6031
cepPiva	0.5157	0.6311	0.5695
cepPiva	0.4665	0.5756	0.5377
cepPiva	0.4245	0.5274	0.5088
cepPiva	0.4049	0.5049	0.495
cepPiva	0.3372	0.4266	0.4442
cepPiva	0.2829	0.363	0.3997
cepPiva	0.2395	0.3111	0.3603
cepPiva	0.2042	0.2686	0.3256
cepPiva	0.1751	0.2332	0.2946
cepPiva	0.1514	0.2035	0.2669
cepPiva	0.1314	0.1785	0.242
cepPiva	0.1147	0.1572	0.2197
cepPiva	0.1007	0.1391	0.1996
cepPiva	0.0886	0.1235	0.1814
cepPiva	0.0784	0.11	0.1651
cepPiva	0.0695	0.0983	0.1502
cepPiva	0.062	0.088	0.1368
cepPiva	0.0551	0.0791	0.1247
cepPiva	0.0496	0.0713	0.1136
cepPiva	0.0446	0.0644	0.1036
cepPiva	0.0401	0.0582	0.0945
cepPiva	0.0362	0.0528	0.0863
cepPiva	0.0327	0.048	0.0788
cepPiva	0.0296	0.0437	0.072
cepPiva	0.0268	0.0398	0.0658
cepPiva	0.0244	0.0362	0.0602
cepPiva	0.0221	0.0331	0.055
cepPiva	0.0203	0.0305	0.0503
cepPiva	0.0185	0.028	0.046
cepPiva	0.0171	0.0258	0.0421
cepPiva	0.0156	0.0238	0.0385
cepPiva	0.0145	0.022	0.0352
cepPiva	0.0133	0.0203	0.0322
cepPiva	0.0125	0.0189	0.0296
cepPiva	0.0114	0.0175	0.027
cepPiva	0.0106	0.0162	0.0248
cepPiva	0.0099	0.0153	0.0227
cepPiva	0.0093	0.0142	0.0208
cepPiva	0.0088	0.0133	0.0191
cepPiva	0.0082	0.0125	0.0175
cepPiva	0.0077	0.0118	0.016
cepPiva	0.0073	0.0111	0.0147
cepPiva	0.0069	0.0105	0.0135
cepPiva	0.0064	0.0098	0.0124
cepPiva	0.006	0.0093	0.0114
cepPiva	0.0058	0.0089	0.0105
cepPiva	0.0056	0.0085	0.0096
cepPiva	0.0054	0.0081	0.0088
cepPiva	0.0051	0.0076	0.0082
cepPiva	0.0051	0.0073	0.0075
cepPiva	0.0045	0.007	0.0069
cepPiva	0.0044	0.0067	0.0064
cepPiva	0.0044	0.0064	0.0059
cepPiva	0.0041	0.0062	0.0054
cepPiva	0.004	0.006	0.005
cepPiva	0.0039	0.0057	0.0046
cepPiva	0.0038	0.0056	0.0043
cepPiva	0.0036	0.0054	0.004
cepPiva	0.0037	0.0052	0.0037
cepPiva	0.0033	0.005	0.0034
cepPiva	0.0034	0.0048	0.0032
cepPiva	0.0033	0.0047	0.0029
cepPiva	0.0031	0.0047	0.0027
cepPiva	0.003	0.0045	0.0025
cepPiva	0.0029	0.0044	0.0024
cepPiva	0.0029	0.0043	0.0022
cepPiva	0.003	0.0042	0.0021
cepPiva	0.0028	0.0041	0.0019
cepPiva	0.0026	0.0039	0.0018
cepPiva	0.0026	0.0037	0.0017
cepPiva	0.0026	0.0037	0.0016
cepPiva	0.0024	0.0036	0.0015
cepPiva	0.0024	0.0035	0.0014
cepPiva	0.0023	0.0034	0.0013
cepPiva	0.0023	0.0035	0.0012
cepPiva	0.0023	0.0032	0.0012
cepPiva	0.0023	0.0033	0.0011
cepPiva	0.0022	0.0032	0.001
cepPiva	0.0021	0.0029	0.001
cepPiva	0.0022	0.0029	0.0009
cepPiva	0.002	0.0029	0.0009
cepPiva	0.002	0.0029	0.0008
cepPiva	0.7905	1.0646	0.7011
cepPiva	0.7019	0.9427	0.6346
cepPiva	0.6268	0.8383	0.5792
cepPiva	0.5629	0.7485	0.5327
cepPiva	0.5077	0.6704	0.4928
cepPiva	0.4597	0.6021	0.4584
cepPiva	0.4175	0.542	0.428
cepPiva	0.3806	0.4885	0.4025
cepPiva	0.3446	0.4381	0.3738
cepPiva	0.3164	0.3968	0.3541
cepPiva	0.2901	0.3596	0.3334
cepPiva	0.2658	0.3259	0.3136
cepPiva	0.2449	0.2966	0.2959
cepPiva	0.2256	0.2701	0.2792
cepPiva	0.2086	0.247	0.2641
cepPiva	0.2007	0.2361	0.2568
