Ax      Bx     Ay      By     Az      Bz     label
0.3534 -0.1007 0.5978 -0.0801 0.5962 -0.0804 3
0.2245 -0.0780 0.2404 -0.0788 0.1440 -0.1105 3
0.2707 -0.0775 0.3006 -0.0783 0.1876 -0.1074 3
0.2699 -0.0788 0.2103 -0.0787 0.1389 -0.1128 3
0.2614 -0.0779 0.3209 -0.0780 0.1756 -0.1056 3
0.2229 -0.0788 0.2570 -0.0791 0.1514 -0.1116 3
0.2322 -0.0785 0.2419 -0.0796 0.1463 -0.1127 3
0.2655 -0.0777 0.2942 -0.0778 0.1779 -0.1048 3
0.1965 -0.0797 0.1962 -0.0793 0.1171 -0.1087 3
0.2075 -0.0792 0.2424 -0.0795 0.1425 -0.1137 3
0.2565 -0.0782 0.2895 -0.0782 0.1661 -0.1061 3
0.2512 -0.0786 0.2461 -0.0784 0.1464 -0.1118 3
0.2957 -0.0779 0.2978 -0.0783 0.1806 -0.1117 3
0.2370 -0.0797 0.2494 -0.0793 0.1531 -0.1120 3
0.2697 -0.0783 0.2426 -0.0782 0.1545 -0.1070 3
0.3720 -0.0784 0.3080 -0.0771 0.1990 -0.1080 3
0.2322 -0.0785 0.1484 -0.1048 0.2774 -0.0790 3
0.2728 -0.0781 0.2781 -0.0790 0.1602 -0.1039 3
0.4332 -0.0790 0.2403 -0.1050 0.3682 -0.0777 3
0.4137 -0.0788 0.1713 -0.1229 0.3420 -0.0786 3
0.2384 -0.0787 0.2493 -0.0788 0.1328 -0.1045 3
0.3181 -0.0789 0.1630 -0.1030 0.2446 -0.0784 3
0.2377 -0.0788 0.1542 -0.1239 0.3954 -0.0796 3
0.2275 -0.0789 0.1324 -0.1033 0.2260 -0.0780 3
0.2638 -0.0782 0.1817 -0.0987 0.3028 -0.0787 3
0.2658 -0.0790 0.1211 -0.0958 0.2091 -0.0787 3
0.2532 -0.0776 0.1800 -0.0965 0.3008 -0.0788 3
0.3443 -0.0790 0.1842 -0.1025 0.2917 -0.0778 3
0.3465 -0.0787 0.2138 -0.0997 0.3184 -0.0777 3
0.2821 -0.0781 0.1655 -0.1043 0.3195 -0.0789 3
0.2200 -0.0780 0.1257 -0.1027 0.2223 -0.0791 3
0.1631 -0.0922 0.2540 -0.0776 0.2655 -0.0790 3
0.1762 -0.1198 0.4235 -0.0786 0.4019 -0.0770 3
0.1333 -0.0947 0.2514 -0.0776 0.2617 -0.0788 3
0.1441 -0.0996 0.2230 -0.0772 0.2299 -0.0787 3
0.1537 -0.1161 0.2905 -0.0778 0.3256 -0.0791 3
0.2210 -0.0971 0.3107 -0.0774 0.3139 -0.0788 3
0.1684 -0.1056 0.3023 -0.0778 0.2944 -0.0790 3
0.1899 -0.0990 0.2166 -0.0784 0.2474 -0.0789 3
0.2874 -0.0791 0.1559 -0.1078 0.2778 -0.0773 3
0.2936 -0.0787 0.1735 -0.1020 0.3091 -0.0777 3
0.2711 -0.0965 0.4391 -0.0768 0.4045 -0.0782 3
0.3232 -0.0790 0.3143 -0.0771 0.1578 -0.1083 3
0.2017 -0.0973 0.2729 -0.0783 0.2800 -0.0788 3
0.2250 -0.0792 0.2156 -0.0777 0.1087 -0.1152 3
0.2392 -0.0978 0.3288 -0.0773 0.3382 -0.0783 3
0.0387 -0.1106 0.0678 -0.0872 0.0482 -0.1305 3
0.2296 -0.0797 0.2768 -0.0779 0.1410 -0.1095 3
0.2094 -0.0802 0.1957 -0.0798 0.1075 -0.1151 3
0.3639 -0.0775 0.3717 -0.0770 0.1867 -0.1034 3
0.2393 -0.0794 0.2314 -0.0790 0.1219 -0.1261 3
0.2834 -0.0782 0.2549 -0.0777 0.1511 -0.1050 3
0.1527 -0.0832 0.1992 -0.0802 0.0965 -0.1229 3
0.1130 -0.0804 0.1124 -0.0825 0.0652 -0.1153 3
0.1951 -0.0788 0.1943 -0.0804 0.1138 -0.1097 3
0.1670 -0.1095 0.2553 -0.0787 0.2864 -0.0777 3
0.2531 -0.0784 0.2195 -0.0791 0.1365 -0.1107 3
0.1851 -0.0799 0.2151 -0.0798 0.1327 -0.1093 3
0.3075 -0.0782 0.3178 -0.0774 0.1850 -0.1113 3
0.2928 -0.0774 0.2982 -0.0779 0.1690 -0.1033 3
0.2403 -0.0790 0.1695 -0.0808 0.1288 -0.1167 3
0.2783 -0.0782 0.1575 -0.1058 0.2526 -0.0779 3
0.2781 -0.0771 0.1853 -0.0903 0.2795 -0.0777 3
0.4560 -0.0774 0.3029 -0.0905 0.3307 -0.0772 3
0.3545 -0.0774 0.2576 -0.0931 0.3349 -0.0776 3
0.3493 -0.0776 0.2688 -0.0932 0.4012 -0.0773 3
0.3221 -0.0778 0.2549 -0.0928 0.3346 -0.0774 3
0.3026 -0.0784 0.1607 -0.1106 0.2840 -0.0785 3
0.4476 -0.0775 0.2898 -0.0967 0.4964 -0.0771 3
0.2353 -0.0773 0.1639 -0.0938 0.2229 -0.0777 3
0.0357 -0.0769 0.0252 -0.1164 0.0486 -0.0793 3
0.0815 -0.0782 0.0678 -0.0958 0.0929 -0.0780 3
0.0965 -0.1163 0.2325 -0.0768 0.2048 -0.0782 3
0.1006 -0.1304 0.2275 -0.0777 0.2195 -0.0788 3
0.0820 -0.1486 0.2472 -0.0788 0.2425 -0.0773 3
0.2648 -0.0781 0.2701 -0.0767 0.2136 -0.0943 3
0.0829 -0.1243 0.2188 -0.0775 0.1776 -0.0783 3
0.1654 -0.1028 0.2679 -0.0771 0.2646 -0.0781 3
0.2462 -0.0964 0.4626 -0.0760 0.4259 -0.0777 3
